Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU51,25.834709344098094,60.349453515098176,148.24059321763167,9839.326980182475,Male,101.191069402123,4.579166966617176,52.51494397056178,1.0492943754756532,Carrier A,4.704262955049873,Supplier 5,Bangalore,17.808299245588632,659.4762011658314,28.597685601270122,15.785457619971012,Pending,1.8525730030977106,Road,Route A,682.447455572059
cosmetics,SKU92,46.58232088167284,43.577913603770156,269.51836655498886,2330.9051711640827,Male,90.58496503757522,23.971076431146056,9.62239818848496,8.13259402555203,Carrier B,4.181141435024388,Supplier 2,Mumbai,4.542222917241741,679.8543279193392,29.524704457056803,65.88803080585444,Pass,0.3209369260780527,Rail,Route B,227.6375787770894
skincare,SKU14,102.37477458742292,26.803947717155765,555.600066425181,8848.978732603444,Non-binary,54.19490753946624,29.348583687675934,79.95618652049517,4.819294039589144,Carrier B,2.1093709187246423,Supplier 1,Kolkata,24.89671722472311,563.073864942403,13.6410011797786,4.293649466885349,Pending,0.04088104333320532,Air,Route B,931.131554658644
cosmetics,SKU71,5.09789861367465,14.66975093861053,633.8343191694008,8025.535759227295,Female,77.60107401974174,0.924028018148813,26.114804654833936,6.074160545834453,Carrier A,9.210891667878187,Supplier 2,Bangalore,1.9253808122518774,261.4468137231016,9.848635179860327,31.698196775702257,Pending,2.1176172172332355,Road,Route A,401.6489560312008
skincare,SKU60,16.246353866920025,15.219926735638962,377.5251930423857,8773.688015808764,Female,42.41971874509577,27.366313795458144,72.1415773550958,7.929213534408735,Carrier C,4.414510467073791,Supplier 4,Mumbai,28.93875801663848,918.5078283051214,23.285710598108558,88.28813847115985,Fail,2.8191142225490653,Rail,Route A,443.8962472024362
skincare,SKU20,97.7940823619535,20.0879520486462,331.20847915384303,8172.471771379374,Unknown,28.212126154789637,11.74023503407574,67.10249468967768,5.798896227376372,Carrier A,8.766694845862277,Supplier 1,Chennai,28.152483129694915,310.1157962892916,5.762400726169509,65.8910120064377,Pass,4.229942008998189,Air,Route B,500.9448923149698
skincare,SKU82,17.024458510026157,12.270447811663697,310.74407433606916,2876.280845189488,Unknown,41.78073138480391,19.17943339887857,70.36759579300916,1.2193808335723275,Carrier A,4.842103050801401,Supplier 2,Mumbai,5.298922467969117,960.3743524841924,25.74371381734095,5.713724319845088,Pending,4.083905048924112,Road,Route C,583.5852596437668
skincare,SKU86,20.418346627778543,17.866160185644915,225.73261561689378,1230.226678297207,Unknown,34.52720644600868,13.76185136418663,19.670411223054035,5.929659248892717,Carrier B,1.6852810409355554,Supplier 1,Mumbai,3.7422149464853267,544.9765525915104,17.49097291107817,77.35233626001855,Pass,2.074741615905573,Rail,Route A,274.48256360906356
haircare,SKU74,4.665536207923658,62.47344552429023,905.3912180125328,5594.505133355207,Female,41.45867870565337,6.437482398122488,1.6623506882429422,5.242415977882095,Carrier A,5.274272786748753,Supplier 4,Delhi,1.1552824646525317,946.5901757069189,9.156386200117653,77.57307257202194,Fail,0.3622879312032232,Rail,Route A,341.03496282989886
haircare,SKU74,3.2579601827189615,64.15240892152192,897.197520003856,5929.8493219515485,Female,41.31401255033745,5.479643584322311,-0.07346755809749261,5.224585699062035,Carrier A,5.2673012980460365,Supplier 4,Delhi,0.9800210178026293,906.0602734162579,8.547685555970299,78.00687149073093,Fail,0.5133086172914891,Rail,Route A,336.50579614458854
